sku,quantityOnStock,supplyChannel
M0E20000000E1B0,838,
M0E20000000E1B1,46,
A0E2000000021S0,67,
A0E2000000021S1,112,
A0E2000000021S2,170,
A0E2000000021S3,210,
A0E2000000021S4,86,
A0E2000000021S5,11,
A0E2000000021S6,78,
A0E2000000021S7,56,
A0E200000002144,11,
A0E200000002145,16,
A0E200000002146,77,
A0E200000002147,90,
A0E200000002148,122,
A0E200000002149,12,
A0E200000002150,98,
A0E200000002151,75,
A0E200000002152,15,
A0E200000002153,17,
A0E200000002154,56,
A0E200000002155,122,
A0E200000002156,11,
